"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"f3jn","One Arharn Thai","Thai","4.4","(100+)","Kanchanaburi"
"vfp6","Joonyu Coffee House","Beverages","5","(100+)","Kanchanaburi"
"b37u","Shabushi (Robinson Kanchanaburi)","Japanese","4.6","(100+)","Kanchanaburi"
"onbs","Tonpradoo cafe","Thai","4.9","(100+)","Kanchanaburi"
"f7me","Mikucha at Craft Cafe X The Waffle (Robinson Kanchanaburi)","Beverages","4.7","(1000+)","Kanchanaburi"
"r2pm","Fuji (Robinson Kanchanaburi)","Japanese","4.8","(500+)","Kanchanaburi"
"dqc5","N and B Pancake (Robinson Kanchanaburi)","American","4.5","(100+)","Kanchanaburi"
"k7tj","RAI KHUN YING COFFEE (ROBINSON KANCHANABURI)","Beverages","4.7","(100+)","Kanchanaburi"
"co7h","Cafe Amazon (Robinson-Kanchanaburi - 96035)","Beverages","4.8","(1000+)","Kanchanaburi"
"a3j2","Hakata (Robinson Kanchanaburi)","Japanese","4.9","(100+)","Kanchanaburi"
"bu58","Kongsi Tea Bar (Kanchanaburi)","Beverages","4.8","(100+)","Kanchanaburi"
"uiia","Kung Jumbo","Thai","4.8","(78)","Kanchanaburi"
"zp4c","Bar B Q Plaza (Robinson Kanchanaburi)","Asian","4.7","(100+)","Kanchanaburi"
"h4ww","Dairy Queen (Robinson Kanchanaburi)","International","4.3","(100+)","Kanchanaburi"
"i4ku","Yayoi Restaurant (Robinson Kanchanaburi)","Japanese","4.9","(500+)","Kanchanaburi"
"l7fv","JE KUNG ArHanTamSung","Thai","4.7","(1000+)","Kanchanaburi"
"m04j","Steak Lung Yik Na Kan","International","4.9","(100+)","Kanchanaburi"
"i4rf","Fried BANANA Sting Mouth","Thai","4.9","(100+)","Kanchanaburi"
"g6gu","Swensen's (Robinson Kanchanaburi)","American","4.9","(100+)","Kanchanaburi"
"srm0","The Waffle (Robinson Kanchanaburi)","Thai","4.9","(78)","Kanchanaburi"
"fwa6","Bonchon Chicken (Robinson Kanchanaburi)","Korean","4.7","(100+)","Kanchanaburi"
"c69z","Potato Corner (Robinson Kanchanaburi)","American","4.8","(500+)","Kanchanaburi"
"yca9","Arigato (Robinson Kanchanaburi)","Beverages","4.9","(24)","Kanchanaburi"
