"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"jexb","11 AM Cafe and Space","Beverages","4.9","(18)","Khon Kaen"
"b2qz","Kome Japanese Food","Thai","4.8","(100+)","Khon Kaen"
"n5bk","Jipang Kangsadarn (Khon Kaen)","Thai","4.6","(98)","Khon Kaen"
"vswn","Guay Tiew Ruey Chaichuanchim Khon Kaen","Asian","4.8","(52)","Khon Kaen"
"qd48","Wua Luan Luan Mai Mee Kwai Prasom (Soi Wunwai Kangsadan)","Thai","4.6","(100+)","Khon Kaen"
"u9es","Tang Tiew Ruea (Kangsadan Cafeteria)","Thai","4.6","(500+)","Khon Kaen"
"w4ex","Eed Nom Sod ( Thanon Maliwan )","Beverages","4.7","(500+)","Khon Kaen"
"b2zn","Jiraporn Grilled Chicken","Thai","4.7","(100+)","Khon Kaen"
"vexe","Kumtsu (Kangsadan)","Japanese","4.8","(61)","Khon Kaen"
"v5up","Larb Ped Kaen Kham","Thai","4.7","(500+)","Khon Kaen"
"g34b","Subway (Hugamall Khonkaen)","American","4.8","(100+)","Khon Kaen"
"h8pg","Peak Ka Pan Guay Tiew Moo Tom Yum Boran Suphan Buri (Kangsadan)","Thai","4.7","(500+)","Khon Kaen"
"u4an","Aekkanek Cafe","Thai","3.9","(100+)","Khon Kaen"
"m7wv","Salapao Chowder","Thai","4.8","(100+)","Khon Kaen"
"v3jc","Sukishi (Central Khonkaen)","Korean","4.7","(100+)","Khon Kaen"
"c1zp","Chao Doi Coffee (Central Plaza Khon Kaen)","Beverages","4.8","(100+)","Khon Kaen"
"ys7p","Texas Chicken (Khon Kaen - Kangsadan)","American","4.5","(46)","Khon Kaen"
"h8cp","Seng Hong Guay Tiew Nuea Kaphrao","Thai","4.5","(9)","Khon Kaen"
"so97","Hakata (Central Khon Kaen)","Japanese","5","(46)","Khon Kaen"
"mjub","Potato Corner (Central Khon Kaen)","American","4.6","(100+)","Khon Kaen"
"as64","CoCo ICHIBANYA (Central Khon Kaen)","Japanese","5","(10)","Khon Kaen"
"b7ki","Pa Meaw","Thai","4.8","(1000+)","Khon Kaen"
"c0cb","Lap Koy Nayjoy","Thai","4.9","(100+)","Khon Kaen"
