"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"vrk0","Baan Nom Sod Cafe","Beverages","4.9","(36)","Chachoengsao"
"si2p","Khao Man Kai Heng Heng Kaphrao Rod Det (PTT Chachoengsao)","Thai","4.9","(24)","Chachoengsao"
"wvvi","Pi Maw  Kai Thot Hat Yai","Thai","3.9","(100)","Chachoengsao"
"e8y1","Jok Aroy Ja","Thai","4.8","(100+)","Chachoengsao"
"k3gs","Nom Sod Arma","Beverages","4.6","(100+)","Chachoengsao"
"g59q","Cafe Amazon (Sathani Khon Song)","Beverages","4.6","(100+)","Chachoengsao"
"xfae","Farm Whan Cafe","16125 min","4.9","(100+)","Chachoengsao"
"m6st","Oui Jame","Thai","4.7","(23)","Chachoengsao"
"r9jq","Ja Jim Khao Man Kai","Thai","4.3","(100+)","Chachoengsao"
"gvsr","Khao Mun Kai Nong U Fa","Thai","3.9","(13)","Chachoengsao"
"w01o","Kuaitiao Mhu Sut Boran (Kong Hua)","Thai","4.6","(28)","Chachoengsao"
"p0x3","Kafae Chamod Vietnam","Beverages","5","(23)","Chachoengsao"
"k1wo","Rosetta Padriew at Thepkunakorn","Beverages","4.8","(2000+)","Chachoengsao"
"a9n3","Ran Ahan Che Arree","Thai","4.4","(23)","Chachoengsao"
"o6zw","Pedyang Hong Kong","Thai","3.7","(60)","Chachoengsao"
"u6p7","Tome  Luerd Mhu Jea Boon","Thai","4.5","(100+)","Chachoengsao"
"j3wb","Yentafo","Thai","4.6","(500+)","Chachoengsao"
"l7lz","Nomsod Thayai","Thai","4.6","(1000+)","Chachoengsao"
"r1om","Cha Paktai","Beverages","4.6","(500+)","Chachoengsao"
"dyi8","Kuai  Tiao Che Nu Lot Bang Kung","Thai","4.9","(100+)","Chachoengsao"
"dv6g","Ice Cream Cartoon","Thai","4.5","(29)","Chachoengsao"
"drxl","Peach Coffee and Milk Frappe","Beverages","4.8","(100+)","Chachoengsao"
"ctm5","The Iconic Coffee Bistro","Beverages","4.9","(96)","Chachoengsao"
"o7ws","Pad Riew Clean Food","Thai","4.6","(100+)","Chachoengsao"
"scro","Jae Tao R Han Tam Sang","Thai","4.8","(44)","Chachoengsao"
"q2tb","Kaow Gang Krua Tai","Thai","4.5","(500+)","Chachoengsao"
"p80t","No.731 สมูทตี้&กาแฟ (SlowbarHomeCafe)","Beverages","5","(1)","Chachoengsao"
"m9nt","Pasri R Hantamsang","Thai","4.8","(100+)","Chachoengsao"
"g8x1","Kang Tay Pathip","Thai","4.9","(500+)","Chachoengsao"
"p1op","J Khan Kuay Tiew Kai Mara","Thai","4.7","(500+)","Chachoengsao"
"owtm","M and M Coffee Bar","Beverages","5","(30)","Chachoengsao"
"xuoo","Chanom Khai Mook Dot Com (Thep Khunakon)","Beverages","4.9","(22)","Chachoengsao"
"sy98","Pha","Thai","4.7","(100+)","Chachoengsao"
"n6zv","Phra Rama 2 Photchana","Thai","4.4","(500+)","Chachoengsao"
"i7qr","Kuaitiao Mu Tun Chun Mui","Thai","4.8","(100+)","Chachoengsao"
"n1gv","ROSETTA","Beverages","4.9","(100+)","Chachoengsao"
"kf1l","Rosetta Roastery","Beverages","4.9","(3)","Chachoengsao"
"k5uc","Malaruay Café","Thai","4.6","(100+)","Chachoengsao"
"jm0e","Shell Cafe (Chachoengsao)","Beverages","4.4","(73)","Chachoengsao"
"s7kf","Starbucks (Robinson Chachoengsao)","Beverages","4.7","(500+)","Chachoengsao"
"m7ph","AM FINE Coffee","Beverages","4.9","(41)","Chachoengsao"
"cx8v","R Hantamsung Jea Thum","Thai","4.6","(100+)","Chachoengsao"
"kbz7","Cha Khunpon Baan Mai","Beverages","5","(2)","Chachoengsao"
"hd54","Nai Tor Kluai Thot Kratha Thong","Thai","4.9","(56)","Chachoengsao"
"u93d","Pearly Tea (Bang Phai CCS 98081)","Beverages","5","(50)","Chachoengsao"
