"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"ov25","Thong Dee Phochana","Thai","4.8","(61)","Bangkok"
"u4oz","Artisan Craft Burger","American","4.4","(1000+)","Bangkok"
"pvg5","Pa Tiw Kao Rad Kang","Asian","4.5","(100+)","Bangkok"
"tauf","Shawarma Express (Halal)","Middle Eastern","2.4","(27)","Bangkok"
"wtkl","Patiaala House Restaurant (Sukhumvit)","Indian","4.6","(1000+)","Bangkok"
"panu","Pa Tiw 24hrs (Mahat Thai)","Thai","4.6","(500+)","Bangkok"
"z6vq","Zaap Nua Boat Noodles","Thai","4.7","(1000+)","Bangkok"
"z0pq","Hafid Restuarant Lebanese And Moroccan Food","Mediterranean","4.5","(100+)","Bangkok"
"j0pi","Jae Rang Larb Yaso Jim Jum (Meng Jai)","Thai","4.6","(79)","Bangkok"
"a6vv","Pa Pranee Tam Sung Guay Tiew","Thai","3.9","(500+)","Bangkok"
"qnex","Wraps R Us (Grand President Sukhumvit 11)","Mexican","1","(1)","Bangkok"
"nvf6","Muslim Kitchen at Huai Khwang","Thai","4.4","(100+)","Bangkok"
"z1jg","Suki Shabu at Nana","Thai","4.5","(9)","Bangkok"
"unwd","The Happy Yemen (Halal Arabic Food)","International","4.5","(1000+)","Bangkok"
"tkqn","Nefertiti Restaurant","Muslim Cuisine","4.4","(4)","Bangkok"
"u5tf","Zaab Soi 4","Thai","4.7","(100+)","Bangkok"
"t8ub","Hooters (Nana)","American","4.3","(500+)","Bangkok"
"u7rn","Kekebab (Bang Na)","Middle Eastern","3.6","(100+)","Bangkok"
"ttut","Al-Saddah Middle Eastern Food","Middle Eastern","4.2","(500+)","Bangkok"
"p6qi","Smoothie by Pee Lat","Beverages","4.5","(100+)","Bangkok"
"kzbs","Burger Farm Halal Cafe","American","4.8","(16)","Bangkok"
"t2nv","Spice India","Indian","4.4","(100+)","Bangkok"
"zgwm","Miang Pla Phao Lung Tor","Thai","4.7","(500+)","Bangkok"
"teqk","Mahmoud Shawarma","Indian","4.5","(1000+)","Bangkok"
"jgyj","Al-Hussain Restaurant","International","4.4","(100+)","Bangkok"
"e2zs","Khao Tom Baiteoy Udomsuk","Thai","4.6","(100+)","Bangkok"
"yfsv","Krua Nana","Thai","4.9","(47)","Bangkok"
"xxm8","PuiPeng Bak Kut Teh Singapore","Chinese","5","(6)","Bangkok"
"clwc","Sheba Restaurant","Middle Eastern","4.5","(100+)","Bangkok"
"w8dp","Bully's Bangkok","Western","4.8","(100+)","Bangkok"
"td6p","W  WORLD SUSHI","Japanese","4.7","(1000+)","Bangkok"
"f5uw","Fried Chicken Hat Yai Somtum Guay Jub Pa Nok","Thai","4.5","(1000+)","Bangkok"
"syt7","Al Ghawas Restaurant","Indian","4","(100+)","Bangkok"
"f1xz","Ruean Roi Et (Lat Phrao 130)","Thai","4.6","(500+)","Bangkok"
"qzi7","Som O Whan","Thai","4.9","(30)","Bangkok"
"alei","Prime Burger (Nana)","American","4.5","(100+)","Bangkok"
"hndp","Jimmy Burger","American","4.8","(8)","Bangkok"
"hwhn","Aladeen","Indian","4","(100+)","Bangkok"
"yh68","Zaab Nana","International","4.6","(97)","Bangkok"
"h46l","Om Kitchen Indian Food","Indian","3.9","(79)","Bangkok"
"xnhv","Dubai Restaurant and Shesha Cafe","Indian","4.2","(100+)","Bangkok"
"lnqr","Sho Ryu Ramen (Huai Khwang)","Japanese","4.7","(100+)","Bangkok"
"b7aq","Adarsh Indian Restaurant","Indian","4.4","(100+)","Bangkok"
"x4we","Uan Chicken Rice (Ratchada Soi 3)","Thai","4.7","(5000+)","Bangkok"
"k0vb","Anan Som Tum Kai Yang (Ramkhamhaeng 50)","Thai","4.3","(500+)","Bangkok"
"c7qh","Fried Chicken Anabib","Southern Thai","4","(500+)","Bangkok"
"wk9a","Yum Khun Wai Krua Halal","Thai","4.9","(46)","Bangkok"
"p5ni","Good Grill Mooping Nueakokun Kaiyang ( Ratchada Soi3 )","Thai","4.6","(100+)","Bangkok"
"p8da","Bung Gareem Islam Food","Thai","4.6","(100+)","Bangkok"
"yc2a","Pad Thai Pa Jan Lung Ueng (Prawit Lae Phuean 1/3)","Thai","4.7","(11)","Bangkok"
"ub5y","Ichi ni San","Japanese","4","(100+)","Bangkok"
"y3yz","Eat and Meet (City Home Ratchada Thai Food Street Food)","Thai","4.3","(1000+)","Bangkok"
"u0wd","Koong Tung (Talad Nad Rot Fai Srinakarin)","Thai","4.3","(100+)","Bangkok"
"fl2m","About Fruit by Crave House","Beverages","4.9","(100+)","Bangkok"
"jwnn","Aroy Jing (Ratchada)","Thai","4.9","(8)","Bangkok"
"l5dg","Mikicha and Snowice Ratchada Soi3","Beverages","4.3","(100+)","Bangkok"
"syz9","Mhoo Krob Racha (Huai Khwang)","Thai","3.3","(100+)","Bangkok"
"t8ow","Burger King (The Street Ratchada)","American","4.6","(3000+)","Bangkok"
"b4z6","Miang Pla Phao (Ratchada)","Thai","4.9","(17)","Bangkok"
"fq4l","Kai Yang  Yaso Zap Yum  Zap (Pacharatbumpen)","Thai","2.7","(66)","Bangkok"
"zpwo","Sekai No Yamachan (Ratchada)","Japanese","4.7","(35)","Bangkok"
