StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City
o6fm,Good day Cafe',Beverages,5,(100+),Kamphaeng Phet
a0qk,Khao Kaeng Lang Mor,Thai,4.6,(100+),Kamphaeng Phet
dzkx,Samrauy Padthai,Thai,4.6,(100+),Kamphaeng Phet
f8eb,1 Dee Cafe,Beverages,4.9,(100+),Kamphaeng Phet
x7cx,Bank Chicken Rice,Thai,4.7,(1000+),Kamphaeng Phet
vrvu,Jae Tim Guay Tiew Kai Buffet,Asian,5,-9,Kamphaeng Phet
y0lu,Mod Dang,Thai,4.3,(2000+),Kamphaeng Phet
z5yn,Muay Esan,Thai,4.7,(500+),Kamphaeng Phet
r1yx,Mod Dang Noodle 2,Thai,4.9,(100+),Kamphaeng Phet
c6sz,Ran Derm At Mor,Thai,4.7,(500+),Kamphaeng Phet
a1uz,Cha Khaimook (Rimping),Beverages,4.1,(100+),Kamphaeng Phet
rsdq,Nai Aroi 35,Thai,4.7,(100+),Kamphaeng Phet
x6tl,Noodle Gaitun Jachai (Wijit 2),Thai,4.5,(500+),Kamphaeng Phet
e6ay,Mongni Cafe (Kamphaeng Phet),Beverages,4.8,(2000+),Kamphaeng Phet
z0tn,Khanom Jeen Pha Fak,Thai,4.6,(100+),Kamphaeng Phet
y9yu,Common Coffee,Beverages,4.8,(100+),Kamphaeng Phet
vetr,Khao Mhoo Thod Namphrik Phat Phak Sot,Thai,4.8,(100+),Kamphaeng Phet
b0kp,Lumpoon Nampun,Beverages,4.9,(100+),Kamphaeng Phet
b1he,DMG Coffee And Cafe,Beverages,4.9,(1000+),Kamphaeng Phet
ue48,Chob Chim Cha&French Fries Lae Lukchin Tod,Beverages,4.7,-14,Kamphaeng Phet
g4ic,Kanom Jeen Mea Fan,Thai,4.8,(1000+),Kamphaeng Phet
cu9m,Now Now,Thai,4.8,-57,Kamphaeng Phet
gnti,Mae Noi Phueak Chai Thao Khanom Che Thot Sut Boran,Thai,3,-11,Kamphaeng Phet
g6du,P Lek Khaotom Jok,Thai,4.8,(100+),Kamphaeng Phet
z5bt,Tok Kai Kamphangphet (L),Thai,4.5,(1000+),Kamphaeng Phet
a9mp,Sator Arhan Paktai,Thai,4.8,(500+),Kamphaeng Phet
