"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"x66c","Auan Glom Tam Sang","Thai","5","(1)","Chiang Mai"
"zhxh","8 Oz Coffee","Thai","4.9","(16)","Chiang Mai"
"dxe3","Baan Kaprao Chiang Mai","Thai","4.9","(100+)","Chiang Mai"
"ltph","Damrong Sai Oua Moo Thod","Thai","5","(47)","Chiang Mai"
"y0ce","Krua Im Aroi","Thai","4.5","(1000+)","Chiang Mai"
"z0cy","Guay Dtieow Sa Woie Jok Tokyo","Thai","4.6","(500+)","Chiang Mai"
"c3l4","Art Farmer Coffee Roastery and Music","Beverages","4.9","(100+)","Chiang Mai"
"b0ag","GuayTiewKaiTunRosded (Bo Sang)","Thai","4.6","(100+)","Chiang Mai"
"w0le","Nong Sun Noodles","Thai","4.5","(500+)","Chiang Mai"
"uw6f","Kuay Tiew Hia Song (Kad Luang)","Thai","4.3","(53)","Chiang Mai"
"fr9a","Khao Soi Khunnai","Thai","4.8","(100+)","Chiang Mai"
"v1kn","Signature Coffee (chang klan)","Beverages","4.8","(1000+)","Chiang Mai"
"u7cy","Bella Goose Cafe","American","4.8","(1000+)","Chiang Mai"
"ijci","Choco Bear Nom Mhee Pun at Borsrang","Asian","4.9","(100+)","Chiang Mai"
"q27y","Bok Tor","International","4.7","(94)","Chiang Mai"
"z7bk","Here Moo Kao Cloog Kapi Changklan","Thai","4.7","(100+)","Chiang Mai"
"v5nw","Perfect Blend Coffee","Beverages","4.8","(500+)","Chiang Mai"
"g9ez","Gekko Garden pub and restaurant","Western","4","(100+)","Chiang Mai"
"w8ys","ROAR CAFE","Beverages","4.7","(100+)","Chiang Mai"
"v9wv","Pa Tiw K","Thai","4.2","(100+)","Chiang Mai"
"bje5","Kamwhan Noodles","Thai","4.8","(100+)","Chiang Mai"
"nu19","Pech Buri Deejung and Gluoy Tod Club  (PTT Sankue)","Thai","4.6","(25)","Chiang Mai"
"xrbq","Fresh Fruit Ready To Eat Fruit Addicts Chiangmai","Thai","4.9","(500+)","Chiang Mai"
"wsk4","Yenrudee Ice Cream","International","4.7","(42)","Chiang Mai"
"v9lm","Kan A La Carte","Thai","4.7","(1000+)","Chiang Mai"
"gwbx","Kao Man Gai Praisani (Branch 3)","Thai","4.3","(5)","Chiang Mai"
"vs2p","Shift Cafe (Chang Khlan)","Beverages","4.8","(100+)","Chiang Mai"
"d8ae","Thana Ocha","Thai","4.7","(4000+)","Chiang Mai"
"b6ng","Ads Super Joke","Thai","4.9","(1000+)","Chiang Mai"
"kx5j","Itim Kati Sod Maprao Nam Hom Khun Pui","Ice Cream","4.6","(29)","Chiang Mai"
"x1jv","Kanomwan Ar Aee","Thai","4.6","(100+)","Chiang Mai"
"a0zs","Kanom Jene 89","Thai","4.8","(500+)","Chiang Mai"
"ghru","Nieow Noom Kai Tod Grob","Thai","4.8","(100+)","Chiang Mai"
"m5lp","Eternity Coffee (Thapae)","Beverages","4.9","(100+)","Chiang Mai"
"v8yu","Chanalerd Braised Beef Noodle","Thai","3.9","(100+)","Chiang Mai"
"kg7o","Asma Halal Kai Tod and Yum Zab Ahan Halal","Thai","5","(100+)","Chiang Mai"
"awkx","Pepino Pizza","Italian","4.7","(100+)","Chiang Mai"
"w2qn","Nuttakarn Southern Food (Saha 1)","Thai","4.5","(500+)","Chiang Mai"
"bofu","Way Laa Derm","Beverages","5","(1)","Chiang Mai"
"yfrg","Pi Bapao I Tim Maphrao Nam Hom (Kad Mueang Mai)","Beverages","4.5","(100+)","Chiang Mai"
"w292","Single Origin Store (Thapae)","Beverages","5","(1)","Chiang Mai"
"x8eu","Fon Thip","Thai","4.1","(1000+)","Chiang Mai"
"q1vw","Waea Kin Yum and Coffee","Thai","4.4","(67)","Chiang Mai"
"qkpg","Vlodge Vegetarian Vegan Restaurant","International","4.5","(100+)","Chiang Mai"
"k7ap","Chamuk 68","Beverages","4.6","(100+)","Chiang Mai"
"w4da","Ran Pa Maew","Thai","4.6","(4000+)","Chiang Mai"
"nmge","Kaproa Khai Jiew Baan Joe","Thai","4.8","(500+)","Chiang Mai"
"a7sz","Fried Chicken By Tuean Jai","Thai","4.2","(500+)","Chiang Mai"
"uc2g","Fried Pork Fried Chicken Thai Somboon (Somphet Market)","Thai","4.7","(100+)","Chiang Mai"
"q8oj","Tum Sung Kui","Thai","4.5","(100+)","Chiang Mai"
"lwhg","Yam Tam Saeb","Thai","4.1","(9)","Chiang Mai"
"dcyl","Yummai","Thai","4.9","(40)","Chiang Mai"
"jl4g","Moo Thod Udd Eat","Thai","4.5","(500+)","Chiang Mai"
"d1mi","Khun mae Coffee","Beverages","4.9","(500+)","Chiang Mai"
"y9fv","Tarn Coffee Bar","Beverages","4.8","(100+)","Chiang Mai"
"i3hw","Kanomjeen Pee Jinda","Thai","4.6","(100+)","Chiang Mai"
"ajd5","Krua Soi 6 Sapa Kong Kin 40 Bath","Thai","4.8","(17)","Chiang Mai"
"bqks","Niew Kai (Sanmahokfah Temple)","Thai","4.9","(81)","Chiang Mai"
"rekn","Mhoo Ping Kad Ton Pa Yom Jao Kao","Thai","4.9","(100+)","Chiang Mai"
"xfkr","Im (Bo Sang)","Thai","4.5","(60)","Chiang Mai"
"c5ut","Niew kai (khang wat san paka jao kao)","Thai","4.8","(1000+)","Chiang Mai"
"h1eu","Bodhi Tree Cafe 2","Thai","4.7","(100+)","Chiang Mai"
"u94v","Nongluk Moo Yang Kluea Sut Boran","Thai","5","(1)","Chiang Mai"
"dcv4","Genius Panda (Cheang Mai Gate)","Italian","4.3","(100+)","Chiang Mai"
"fipe","Giant Cha and Coffee","Beverages","4.8","(100+)","Chiang Mai"
"h4u2","Kao Niew Sueng Tueng Hoe Bai Tong (Branch 2)","Thai","4.8","(28)","Chiang Mai"
"znsw","Dubai Chicken Rice (Pa Daed)","Thai","4.8","(10)","Chiang Mai"
"w1jd","Doi Luang Coffee","Beverages","4.8","(1000+)","Chiang Mai"
