"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"c5up","Jae Tom Coffee","Beverages","4.7","(500+)","Chanthaburi"
"tdof","Kao Man Kai Je Pron Sui Market","Thai","4.8","(93)","Chanthaburi"
"hi24","Joke Jae Aeo","Thai","4.5","(100+)","Chanthaburi"
"wscj","Khanomchin Jae Tom","Thai","4.8","(86)","Chanthaburi"
"b7pm","Ton Nam Boran Vintage","Beverages","4.6","(100+)","Chanthaburi"
"bs7n","Nampu Club","Beverages","5","(21)","Chanthaburi"
"dqym","Phriao Kaphrao (Soi Bua Sawas)","Thai","4.9","(19)","Chanthaburi"
"n6qj","Patonggo Sapankaow","Thai","4.6","(1000+)","Chanthaburi"
"gq4o","Khaomankai Kho Rat Mittraphap","Thai","4.8","(100+)","Chanthaburi"
"qcbr","Baan Ni Si Namtan","Thai","5","(1)","Chanthaburi"
"s6fq","Nen Krueng 1","Thai","4.6","(1000+)","Chanthaburi"
"tdmn","Cha Cha Chicken","Thai","4.9","(83)","Chanthaburi"
"e4qf","Uem Sook","Thai","4.8","(100+)","Chanthaburi"
"kslb","Sapparot Phu Lae (Kasikorn Bank Nampu Market)","International","5","(44)","Chanthaburi"
"h0mb","Som Tum Yum Zab (Lan Chan)","Thai","4.5","(100+)","Chanthaburi"
"hhde","Khaw Mun Gai Mae Ploen","Asian","4.7","(36)","Chanthaburi"
"e6kp","Dairy Queen (Lotus Chanthaburi)","International","4.8","(100+)","Chanthaburi"
"znd1","Che Nan  Ahan Tam Sang","Thai","4.8","(1000+)","Chanthaburi"
"xt4t","You and Me The Rim","Beverages","5","(1)","Chanthaburi"
"g3fd","Jae Maeo Roasted chicken","Thai","4.5","(97)","Chanthaburi"
"yoyx","Chan To","Thai","4.5","(100+)","Chanthaburi"
"ejx3","Inthanin Coffee (Maharaj)","Beverages","4.9","(100+)","Chanthaburi"
"d0vh","Banthanay Coffee","Beverages","4.9","(1000+)","Chanthaburi"
"yl71","Khaomankai Na Wat Khet Talat Chaloem Chan","Thai","4.5","(100+)","Chanthaburi"
"fjhi","Khrua Rim Sa","Thai","4.7","(8)","Chanthaburi"
"d2zn","Assama Muslim food","Thai","4.7","(500+)","Chanthaburi"
"k3zp","Holide Kra Phrao Mu Wan","Thai","4.9","(1000+)","Chanthaburi"
"r6bc","Carnation Ice Tea","Beverages","4.9","(100+)","Chanthaburi"
"c1gx","Coffee Today (Lotus)","Beverages","4.7","(1000+)","Chanthaburi"
"vfbr","Ban Tuad Homebrew Coffee","Beverages","5","(7)","Chanthaburi"
"j7mb","Kuaitiao Ruea Ban Thai Wang","Thai","4.8","(100+)","Chanthaburi"
"b4rm","Naiyana Food","Thai","4.8","(4000+)","Chanthaburi"
"wbdm","Thongchai Khaw Na Ped","Thai","4.7","(100+)","Chanthaburi"
"b9wj","The Sweet Garden","Beverages","4.9","(100+)","Chanthaburi"
"pfoz","Cafeine Coffee Cafe","Beverages","5","(37)","Chanthaburi"
"pumu","Jae Noi Kuaitiao Mu Liang","Thai","4.8","(100+)","Chanthaburi"
"g8pk","Kuaitiao Kai Tun Mu Tun Phitsanulok Phit Sa Wiatnam Nak Khrueang","Vietnamese","4.7","(500+)","Chanthaburi"
"k5qa","Khrua Ban Chan","Thai","4.7","(500+)","Chanthaburi"
"r9zl","Kuaitiao Ped Luk Mae Chaem","Thai","4.8","(500+)","Chanthaburi"
"zzoy","Kha Moo Jae Pui (Chanthanimit)","Thai","3","(20)","Chanthaburi"
"b7wr","Chaa Payom Phraya Trang Road","Beverages","4.8","(1000+)","Chanthaburi"
"nx28","Aiya  Khao Kaeng Pak Tai","Thai","4.6","(86)","Chanthaburi"
"pbgl","Ow Heng Li Khao Na Pet Kuaitiao Pet Tun","Thai","4.6","(94)","Chanthaburi"
"k9gs","Krau Mung Mee By Luk Saw Ad Pamai","Thai","4.7","(500+)","Chanthaburi"
"b9gr","Jae Phen Noodle","Thai","4.6","(500+)","Chanthaburi"
"b6np","Je Lek Kangliang and Khamoo","Thai","4.7","(1000+)","Chanthaburi"
"b1er","Sapa Kafe Konchantabun","Beverages","4.7","(100+)","Chanthaburi"
"gtzq","Khrua Nong Zee Za","Thai","4.7","(500+)","Chanthaburi"
"l8um","Siri Cafe","Beverages","4.4","(67)","Chanthaburi"
"o3re","Ran Ban Coffee 538","Beverages","4.8","(100+)","Chanthaburi"
"e5ka","Rock S Presso","International","4.9","(100+)","Chanthaburi"
"l5z5","Kraw Kang San Tung Mae Wan (Watpailom)","Thai","4.8","(500+)","Chanthaburi"
"k5fl","Pup and Pun","Beverages","4.7","(100+)","Chanthaburi"
"cflv","Ahan Tan Sang Panee Pee Bow Chanthanimit","Thai","4.8","(100+)","Chanthaburi"
"qem6","Papoj Coffee Boran","Beverages","4.9","(64)","Chanthaburi"
"r3tk","Kra Phrao Thad Yak Chan Hi","Thai","4.5","(1000+)","Chanthaburi"
"fs7k","Ka Prao Kod Ped (Tha Chang)","Thai","4.9","(500+)","Chanthaburi"
"g0yh","Guitar Coffee","Beverages","4.9","(500+)","Chanthaburi"
"afh8","Ahan Tam Sang Pa Ann","Thai","4.4","(100+)","Chanthaburi"
"glq4","Sao Cafe (Lang Wat Roman)","Beverages","4.5","(62)","Chanthaburi"
"e8s1","Joke Kao Tom Moo Yang (Ang Hin)","Thai","4.9","(75)","Chanthaburi"
"e4vp","D.C Coffee Corner","Beverages","5","(500+)","Chanthaburi"
"n8sp","Zab Ubon Koh Kwang Soi 1","Thai","4.8","(500+)","Chanthaburi"
"wxdp","Site Ngan Coffee Roaster","Beverages","5","(1)","Chanthaburi"
"nzq3","Lung Kai Ahan Tam Sang Kuaitiao","Thai","4.8","(100+)","Chanthaburi"
"g9up","Je Saw Kang Pa","Thai","4.6","(1000+)","Chanthaburi"
"m7iu","Chan Coffee","Beverages","5","(100+)","Chanthaburi"
"aww6","Suki Rot Ded Ar Han Tam Sang (Soi Kanda 1)","Thai","4.8","(100+)","Chanthaburi"
"d3dw","Hea Oun Wat Mai Yentafo-Khao Mun Kai kheha 2 Brunch (5)","Thai","4.7","(100+)","Chanthaburi"
"yw0z","Dinocha (Sirikan)","Beverages","4.9","(56)","Chanthaburi"
"jcvk","Sheeva Cafe","Beverages","4.4","(6)","Chanthaburi"
"gomo","Khao Niao Mu Ar Kong","Thai","4.4","(100+)","Chanthaburi"
"r5hm","Itim Thairoyal Chanthaburi","Thai","4.7","(100+)","Chanthaburi"
"elxv","Khow Tom Kadookmoo Chill Chill Branch 2","Thai","4.9","(100+)","Chanthaburi"
"itd8","Khrua Chuan Chan","Thai","4.8","(1000+)","Chanthaburi"
"df6p","Fish Noodles Je Eat (Ta Khian Ku)","Thai","4.8","(100+)","Chanthaburi"
"sboc","Good Day Khai Kon","Thai","4.9","(100+)","Chanthaburi"
"p8oo","Kow Man Kai Trad Na Chanthaboon","Thai","4.5","(100+)","Chanthaburi"
"z23n","Larb Yaso Sirikan","Thai","4.5","(500+)","Chanthaburi"
"rxk6","Pa It Chok Khaoklong Het Hom","Thai","4.6","(100+)","Chanthaburi"
"b79i","Jea Bua Moo Yang Kai Yang","Thai","4.3","(72)","Chanthaburi"
"s4zy","Kao Khamoo Jae Jiaoe Jai Dee","Thai","4.8","(56)","Chanthaburi"
"uhzw","Kong Prod","Western","4.3","(77)","Chanthaburi"
"fj9n","Faker Coffee House","Beverages","5","(19)","Chanthaburi"
"m5qq","Ran Nam Chong","Beverages","5","(100+)","Chanthaburi"
"q0kc","Chayapol Maphrao Chan","Beverages","5","(32)","Chanthaburi"
"dyyo","One More Cafe","Beverages","5","(100+)","Chanthaburi"
"cpng","Kai Tom Nam Pla Islam","Thai","4.8","(100+)","Chanthaburi"
"n3c7","Moma's Bubble Tea Bar (Khlung)","Beverages","4.9","(100+)","Chanthaburi"
"cgql","Ae Arh Coffee by Ar Arh","Beverages","4.9","(5)","Chanthaburi"
"r7ig","B and B Khlung","Thai","4.6","(100+)","Chanthaburi"
"dlvc","Bami Sen Tham Ang PhatThai NongBua","Thai","4.4","(54)","Chanthaburi"
"n9q4","Pa Sao Khao Kha Mu","Thai","4.9","(30)","Chanthaburi"
"i9v7","Kuay Tiew Kai Mara (Bang Chak Station)","Thai","4.8","(76)","Chanthaburi"
"xuji","Nest and Grace Fresh Fruit Patong","Thai","4.7","(15)","Chanthaburi"
"uh8b","​ ​I​ am Pizza","Italian","4.5","(61)","Chanthaburi"
"lz2u","Rung Arun Tam Sang","Thai","4.5","(100+)","Chanthaburi"
"m4ca","Atchara Kitchen","Thai","5","(100+)","Chanthaburi"
"i4aa","KSS COFFEE","Beverages","5","(85)","Chanthaburi"
"sw3w","Tiew Nai Baan (Klung)","Thai","4.6","(100+)","Chanthaburi"
"pgda","Guyteaw Ka Kai Je Pron J P","Thai","4.6","(100+)","Chanthaburi"
"f335","Waffle Hug (Phrapokklao)","International","5","(6)","Chanthaburi"
"qobx","Tam Sang Pa Aorn","Thai","4.3","(57)","Chanthaburi"
"oceb","Ran Jae Ni Ahan Tam Sang JP","Thai","4.6","(100+)","Chanthaburi"
"h8ce","Hear Auan Yentafo JP","Thai","4.7","(500+)","Chanthaburi"
"p6ao","Bami Kiao Nai Duang","Thai","4.7","(100+)","Chanthaburi"
"lzip","Tam Yam Saep So Jay Pu Khai Dong (O Bit Pub)","Thai","4.6","(13)","Chanthaburi"
"b1yn","Ayutthaya Boat Noodles Central Stadium","Thai","4.6","(1000+)","Chanthaburi"
"b79h","Khaotom Pla Chonburi","Asian","4.4","(100+)","Chanthaburi"
"symc","Kai Thot Hat Yai Chai Na JP (Chanthaburi)","Thai","4.8","(100)","Chanthaburi"
"cgr0","Zab Tam Jai","Thai","4.6","(100+)","Chanthaburi"
