"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"lp6o","Khao Niao Mu Thot by Mister Tum Tam Hat Yai (Hor Na Li Ka)","Thai","4.8","(91)","Chiang Rai"
"v0ou","Baan Lert Rot","Thai","4.7","(1000+)","Chiang Rai"
"hueb","Milk Land (Baanpa Pragarn Rd.)","Beverages","4.9","(15)","Chiang Rai"
"g3dk","Yen Yen Cafe","Thai","5","(6)","Chiang Rai"
"v2eq","Red Coffee","Beverages","4.8","(2000+)","Chiang Rai"
"sv8l","Sooknirund","Thai","4.7","(24)","Chiang Rai"
"v5kg","Ros Nom","Beverages","4.6","(100+)","Chiang Rai"
"cu8d","Pim Pit Yentafo (Kad Luang)","Thai","4.6","(26)","Chiang Rai"
"v6tz","Mr.Golf Coffee","Beverages","4.9","(500+)","Chiang Rai"
"u3oz","Pun Pao Chiang Rai","Chinese","4.8","(2000+)","Chiang Rai"
"szac","Aap Mueang","Thai","4.9","(100+)","Chiang Rai"
"npxi","The Duck Cha (Chiang Rai Branch)","Beverages","5","(40)","Chiang Rai"
"l2pb","Ran Kai Yang Wi Chian Buri","Thai","4.7","(100+)","Chiang Rai"
"v8uw","Lertluck Khaw Man Kai","Thai","4.8","(100+)","Chiang Rai"
"qibp","Krua Sakorn Arhan Tamsang Khao Niew Moo Ping","Fast Food","2.5","(6)","Chiang Rai"
"ybu1","Pa Phat Phochana","Thai","4.9","(100+)","Chiang Rai"
"v9qw","Sakina Islam Food","Thai","4.6","(1000+)","Chiang Rai"
"d5tp","Khrua Khun Liw Tam Sang","Thai","4.6","(1000+)","Chiang Rai"
"ybdw","Bamee Go Nham (Rimkok)","Thai","4","(6)","Chiang Rai"
"y5vj","Pa Sai Nam Ngiao Ahan Tam Sang","Thai","4.3","(100+)","Chiang Rai"
"v4fi","Ko Meng Kaitoon Noodles","Thai","4.6","(500+)","Chiang Rai"
"n46x","Nai Nhum Kai Yang Wichian Buri","Thai","4.1","(3)","Chiang Rai"
"v4hs","Cha Payom (Baanmai)","Beverages","4.7","(3000+)","Chiang Rai"
"f2b9","Nanaba Cafe (Hong Ya Thai)","Beverages","5","(35)","Chiang Rai"
"e5re","The Owl Coffee Chiangrai","Beverages","4.9","(65)","Chiang Rai"
"rnmx","Yod Rak Arhan Tam Sang","Thai","4.4","(80)","Chiang Rai"
"hms4","Khun Yai Khanom Chip Salapao Nam Ngiao","Thai","3.1","(35)","Chiang Rai"
"v0ti","About Time Coffee","Beverages","4.8","(3000+)","Chiang Rai"
"q4bm","Ratyotha Gas Station Restaurant","Thai","4.7","(1000+)","Chiang Rai"
"w9bm","Chao Doi Coffee (Ruamchittawai Road)","Beverages","4.6","(500+)","Chiang Rai"
"qltp","Huen Khanomthai","Thai","4.8","(100+)","Chiang Rai"
"zpai","Ban Kanomsen Jed Nam","Thai","4.8","(100+)","Chiang Rai"
"x2kl","Soup Kradook Maejo Chiang Rai","Thai","4.7","(1000+)","Chiang Rai"
"c7en","Mang Tomluetmoo Jingjoochai","Thai","4.7","(500+)","Chiang Rai"
"i5qg","Kaomunkai Hailam (Nimsiseng Khonsong)","Thai","4.2","(100+)","Chiang Rai"
"v4pt","Loft Loft Coffee","Beverages","4.8","(100+)","Chiang Rai"
"jvnf","Kuaitiao Moo Rot Dee","Thai","4.1","(49)","Chiang Rai"
"bhf4","Rong Ngarn Ka Prao (Branch 2)","Thai","4.9","(23)","Chiang Rai"
"wjpe","Harmony Home Cafe","Beverages","5","(7)","Chiang Rai"
"cqhi","Punpo Pakor Market","Beverages","4.9","(100+)","Chiang Rai"
"a7ey","Pee Kham Somtum Jaokao","Thai","4.5","(100+)","Chiang Rai"
"b5og","Kaomunkai Por Kaiton Pratunarm","Thai","4.7","(1000+)","Chiang Rai"
"tviw","Glomglorm Joke Mhoo Deng","Thai","4.6","(68)","Chiang Rai"
"rutm","Khao Mun Kai Nong Pro Jai","Thai","4.9","(100)","Chiang Rai"
"z1li","Hug Jang 1","Thai","4.5","(32)","Chiang Rai"
"gdnq","Phoenix Lava (Chiang Rai)","Asian","4.7","(12)","Chiang Rai"
"dda2","KK Mini Pizza Homemade","International","4.3","(3)","Chiang Rai"
"i5td","Khao Soi Kai Sai Chai","Thai","4.8","(1000+)","Chiang Rai"
"bab8","Bamee Giew Yunnan (Chiang Rai)","Chinese","5","(48)","Chiang Rai"
"ska3","Pekmumzaap","Thai","4.7","(61)","Chiang Rai"
"u1gh","Himtang Coffee","Beverages","4.7","(100+)","Chiang Rai"
"urid","Nam Pan Ngai","Beverages","5","(18)","Chiang Rai"
"mn89","Mu Yang Amphawa","Thai","5","(34)","Chiang Rai"
"u1se","Radna Sanambin","Thai","4.7","(1000+)","Chiang Rai"
"x7xc","Pad Thai Sankhong","Thai","4.7","(500+)","Chiang Rai"
"w5hu","Kung Ten Sanam Kila","Thai","2.5","(73)","Chiang Rai"
"omwc","Kafae Ban Ban (Rajbumrung Road)","Beverages","5","(4)","Chiang Rai"
"l8rz","J Ching Soi 4","Thai","4.7","(100+)","Chiang Rai"
"f3lg","Phad Thai Cook Tuu","Thai","4.7","(1000+)","Chiang Rai"
"z9wb","Ta Le Jan Ron Chiang Rai","Thai","4.7","(100+)","Chiang Rai"
"y1te","Kunnapat Crepe Cake","Beverages","4.9","(49)","Chiang Rai"
"ri43","Rimkok Coffee","Beverages","5","(14)","Chiang Rai"
"vpnl","Kod Lum Kaprao Tard","Thai","4.4","(100+)","Chiang Rai"
"u0sr","Kaw Soi Budsanee","Thai","4.7","(100+)","Chiang Rai"
"yhd3","Yang Kao Tiew Tok Charm Ra Bert","Thai","4.7","(59)","Chiang Rai"
"a3wi","Starbucks (Central Chiangrai)","Beverages","4.9","(100+)","Chiang Rai"
"ncj7","Cake and Dessert Daily Sweet","International","5","(13)","Chiang Rai"
"p3ru","Chok - Khaotom Chiang Rai Sakha 2","Thai","4.3","(500+)","Chiang Rai"
"vop6","Krua Bang Prom by About Time","Thai","5","(1)","Chiang Rai"
"e1lb","Khaoniao Mu Thot Yaek ABJ","Thai","4.2","(100+)","Chiang Rai"
"sabz","Tung Toh Kin Sen","Thai","5","(36)","Chiang Rai"
"if49","Yentafo Ruam Dao","Thai","1.9","(19)","Chiang Rai"
"d3zb","Khao Raem Fuen Pa Mey","Thai","4.5","(64)","Chiang Rai"
"mz0o","P Cafe","Thai","4.5","(16)","Chiang Rai"
"r2qe","Crepe Pangpond and Coffee","Thai","4.9","(29)","Chiang Rai"
"e1kf","S&P (Kasemrad Sriburin Hospital)","Thai","4","(26)","Chiang Rai"
"wspq","Krua Ya Eed","Thai","4","(64)","Chiang Rai"
"ydxy","19 Coffee and Patisserie (Lanmueng)","Beverages","4.9","(500+)","Chiang Rai"
"e5io","Twin Cafe' (Chiangrai)","Beverages","4.7","(100+)","Chiang Rai"
"u9xc","Raan Kaprao Dee Krua Lung Bird","Thai","4.2","(100+)","Chiang Rai"
"bls6","Khua Lung Toi","Thai","4.8","(100+)","Chiang Rai"
"mjwq","Kaomunkai Hailam (Opposite to Pizza Bandu)","Thai","4.7","(77)","Chiang Rai"
"llzp","Shane Cha Cafe","Beverages","5","(49)","Chiang Rai"
"ee25","Food Wishes","Western","5","(4)","Chiang Rai"
"y6qm","KFC (Big C Chiangrai 2)","American","4.7","(2000+)","Chiang Rai"
"dqzl","Raan Pet Yang Chiang Rai Ban Du","Thai","4.7","(100+)","Chiang Rai"
"h1sm","Lan Saen Kham Khao","Thai","4.5","(100+)","Chiang Rai"
"n2qs","Lamoonnee Coffee","Beverages","4.7","(100+)","Chiang Rai"
"vrvf","Thong San Chang Tam Sang","Thai","4.3","(100+)","Chiang Rai"
"x3mi","The Pizza Company (Big C Chiangrai 2)","Italian","4.7","(100+)","Chiang Rai"
"dfj1","Joke Tae Jew","Thai","4.6","(100+)","Chiang Rai"
"eerk","Cafe Amazon (PTT Liang Mueang Ban Du)","Beverages","4.9","(100+)","Chiang Rai"
"dyfe","Khao Kaeng Indy","Thai","3.4","(33)","Chiang Rai"
"h56v","Hom Coffee Take Away","Beverages","5","(16)","Chiang Rai"
"hxzf","Arabia Coffee (Chiang Rai)","Beverages","5","(1)","Chiang Rai"
"x2cs","Kaitord Reuathong","Thai","4.4","(1000+)","Chiang Rai"
"xpuw","Somtum Tayai","Thai","4.6","(100+)","Chiang Rai"
"dnr4","Thumbs Up Coffee by Thanakorn Chao Kao (Ban Du)","Asian","5","(6)","Chiang Rai"
"gday","Kaphrao Hod","Thai","4.8","(100+)","Chiang Rai"
"ojlp","Moo Ping Khun Yai","Thai","4.7","(100+)","Chiang Rai"
"p890","Koheng Kuaitiawmunamtok Sut Boran","Thai","4.8","(87)","Chiang Rai"
"p2fi","Hia Ice Kaikrob and Restaurant","Thai","4","(42)","Chiang Rai"
"ssd7","Bannfai Restaurant","Thai","4.7","(100+)","Chiang Rai"
"wrdk","TWO TABLE","Thai","5","(12)","Chiang Rai"
"w1qe","Ran Tanakorn (Jao Kao)","Thai","4.7","(1000+)","Chiang Rai"
"bx78","Sunisa  Arhantamsang","Thai","4.7","(500+)","Chiang Rai"
"hgal","Chao Doi Coffee and Bubble Tea (Caltex Pa O Don Chai)","Beverages","5","(5)","Chiang Rai"
"vkzq","Meekhwamsook Cafe (Chiang Rai Rajabhat University)","Beverages","4.9","(22)","Chiang Rai"
"w8in","European Food and Steak House","15890 min","4.5","(68)","Chiang Rai"
"hupo","Baanfai Coffee","Beverages","4.3","(7)","Chiang Rai"
"tmsn","Nong Pa Larb Khom","Thai","4.8","(30)","Chiang Rai"
"n0jw","La-Moon Cafe","Beverages","4.9","(57)","Chiang Rai"
"jxp8","Guay Jub Lung Nat","Thai","5","(3)","Chiang Rai"
"bes4","Kai Tok Tok","Asian","5","(3)","Chiang Rai"
"s0jm","Pa Tha Noodle and Restaurant","Thai","4.7","(100+)","Chiang Rai"
"n6kf","Moo Milk Cafe","Beverages","5","(100+)","Chiang Rai"
"r8xd","Kuaitiao Tomyam  Bannok","Thai","4.9","(100)","Chiang Rai"
"p5ou","Na Amphoe Coffee","Beverages","4.7","(100+)","Chiang Rai"
"w8mi","Kuay Teow Tomyum Bolan","Thai","4.7","(1000+)","Chiang Rai"
