"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"n7wh","Go Deng Ho Deng Noodle (Soi Noen Plub Whan)","Thai","4.6","(100+)","Chon Buri"
"a6mv","Chob Cha( Big C South Pattaya)","Beverages","4.7","(100+)","Chon Buri"
"d9nr","Bamee 168","Thai","4.6","(100+)","Chon Buri"
"kbti","Sam Sao Restaurant","Thai","4.9","(500+)","Chon Buri"
"fumo","Rich Chok Mu Lae Tom Luead Mu","Thai","4.9","(100+)","Chon Buri"
"smmd","Good Morning Katfe","Beverages","5","(62)","Chon Buri"
"cklk","Sa Nguan Zap Ai Lee","Thai","4.7","(100+)","Chon Buri"
"qpcc","Baan Kaphrao","Thai","4.8","(100+)","Chon Buri"
"yd5s","500km Yunnan Street foods","Chinese","4.9","(36)","Chon Buri"
"d8qp","Au Bon Pain (Little Walk Pattaya)","International","4.2","(62)","Chon Buri"
"g1mm","Nong Ice Khao Mun Gai Ton","Thai","4.7","(100+)","Chon Buri"
"q7sm","Mooping Nak Muay","Thai","4.6","(500+)","Chon Buri"
"hn8n","Cha Payom (Pattaya Tai 1)","Beverages","5","(21)","Chon Buri"
"p8up","Jin Cha Pattaya","Beverages","4.3","(100+)","Chon Buri"
"f6cp","Triple Two Cafe","Thai","4.7","(100+)","Chon Buri"
"gadr","Mai Khadcan Coffee (Paniad Chang 15)","Beverages","5","(100+)","Chon Buri"
"fmkr","Southern Coffee (Branch Big C Extra Middle Pattaya)","Beverages","4.4","(20)","Chon Buri"
"ka0n","Somtam Loei Buri","Thai","3.6","(12)","Chon Buri"
"umao","Khao Mun Kai Hailum (Pattaya Chaiyaphon Withi Road)","Asian","4.5","(19)","Chon Buri"
"ijst","Pa Pin Khao Kamoo (7-11 Bongkoch 7)","Thai","4.6","(87)","Chon Buri"
"j2tr","Krua Khun Mae Pat","Thai","4.7","(1000+)","Chon Buri"
"t5nv","Subway (Big C)","American","4.8","(1000+)","Chon Buri"
"cfgu","Torucha (Chaloem Phra Kiatri 10)","Beverages","5","(8)","Chon Buri"
"g9fc","Jolly Restaurant","Western","4","(100+)","Chon Buri"
"lui0","Caddyshack","16125 min","4.8","(500+)","Chon Buri"
"t9x1","Pa Auan Korat Somtum","Thai","4.7","(100+)","Chon Buri"
"y3fq","Chob Cha","Beverages","4.6","(100+)","Chon Buri"
"fpdl","Pizza N Pizza (Pattaya)","Italian","4.3","(73)","Chon Buri"
"sf42","Martin Cafe (Na Kluea)","Beverages","4.8","(40)","Chon Buri"
"c5ka","You Restaurant and Sport Bar","Thai","3.6","(100+)","Chon Buri"
"t4lq","Easy Health","International","4.8","(3000+)","Chon Buri"
"z1mb","Daeng Dam Restaurant","Thai","4.5","(500+)","Chon Buri"
"e0iy","Khrua Khunmae (Talat Rattanakorn)","Thai","4.6","(100+)","Chon Buri"
"fmx8","Mae Saithong Mango Sticky Rice","Thai","4.8","(100+)","Chon Buri"
"ldl9","Bread Season (Pattaya)","International","4.5","(100+)","Chon Buri"
"y1nc","Chill Inn","International","4.6","(1000+)","Chon Buri"
"laqh","3Bz Burritoz Buffalo Bar","Mexican","4.5","(1000+)","Chon Buri"
"v5ov","Ko Pian Kuayteow Reua Ayutthaya (Thep Prasit)","Thai","4.4","(100+)","Chon Buri"
"wxpu","Tiew Aharn Tamsung (Krom Thidin)","Thai","4.4","(84)","Chon Buri"
"v3q6","The Diners Express","Thai","4.1","(91)","Chon Buri"
"s4wd","Muan Chon Coffee ( Pattaya )","Beverages","4.9","(41)","Chon Buri"
"gmz1","Five Star (Rattanakorn Market Pattaya)","Thai","4.7","(100+)","Chon Buri"
"q8mh","Mum Pattaya","American","3.8","(100+)","Chon Buri"
"w9ki","Eak Fish Balls","Thai","4.6","(100+)","Chon Buri"
"mtyw","King Indian Restaurant","Indian","4.5","(100+)","Chon Buri"
"ilgj","Grand Boutique Kitchen","Thai","4.7","(500+)","Chon Buri"
"pjhd","Little Brother's Pizzeria","Italian","4.4","(57)","Chon Buri"
"h0yy","Kaiyang Vichianburi Krua Kaew Sarapad Nuek","Thai","4.8","(100+)","Chon Buri"
"ns5a","Khun Chai Seafood","Thai","4.5","(100+)","Chon Buri"
"qhqz","Little Brother's Thai Restaurant","Thai","4.4","(500+)","Chon Buri"
"gtqo","Fu Man Lou","Chinese","4.4","(100+)","Chon Buri"
"g5zo","Nong Ploy Soi 3","Thai","4.4","(100+)","Chon Buri"
"sqsn","China King - The Great Indian Chinese (Pattaya)","Chinese","3.6","(33)","Chon Buri"
"t0nj","The Coffee Club (Royal Garden Plaza Pattaya)","International","4.7","(500+)","Chon Buri"
"n133","Amritsr (Pattaya)","Indian","4.5","(500+)","Chon Buri"
"t0xi","Queen Victoria Inn","International","4.7","(100+)","Chon Buri"
"g8ln","A Taste of Norway","International","4.9","(100+)","Chon Buri"
"vi9y","Esan Zap Koen","Thai","4.4","(100+)","Chon Buri"
"t7jy","The Sportsman","American","4.6","(2000+)","Chon Buri"
"luua","Lek Lek Coffee","Beverages","5","(8)","Chon Buri"
"qnqx","COCO DESU by 다나집","Beverages","5","(1)","Chon Buri"
"t1tx","Linda’s Restaurant","International","4.7","(100+)","Chon Buri"
"t6pq","Das Berliner","German","4.5","(500+)","Chon Buri"
"e2ks","Eab Zap South Pattaya","Thai","3.9","(94)","Chon Buri"
"c2gh","Chob Cha (Lotus Pattaya Nua)","Beverages","4.8","(500+)","Chon Buri"
"ugu9","Kuai Chap Yuan Ubon","Thai","4.9","(72)","Chon Buri"
"y23o","Buondi Italia Danoong Ristorantino","Italian","5","(21)","Chon Buri"
"hqi2","KookKai Sab Ver","Thai","4.5","(100+)","Chon Buri"
"kusg","Starbucks (The Bay Pattaya)","Beverages","5","(11)","Chon Buri"
"xzze","Biryani 99","Indian","4.5","(100+)","Chon Buri"
"b0xb","I am Waffle","Beverages","4.7","(100+)","Chon Buri"
"dhxx","Pizza To Go","Italian","4.5","(8)","Chon Buri"
"pfyh","D and D Cafe (Pattaya Sai 2 Soi 16)","Thai","4.8","(100+)","Chon Buri"
"e0lp","Jae Joom Hoy Tod Pad Thai","Thai","4.8","(60)","Chon Buri"
"xah1","Guay Tiew Pla Ta Yu","Thai","4.5","(29)","Chon Buri"
"zqp0","Time Machine","Thai","5","(21)","Chon Buri"
"zmgy","Lerich (Pattaya)","Thai","4.1","(72)","Chon Buri"
"ghxi","Mor Nomsod and Fresh Coffee Mum Prod","Beverages","4.1","(4)","Chon Buri"
"tw7q","Mayura Indian Restaurant","Indian","3.7","(500+)","Chon Buri"
"l1yq","Krua Pha Som Phis","Thai","4.8","(100+)","Chon Buri"
"w3mw","Pink Salmon Eatery and Bar","International","4.9","(39)","Chon Buri"
"a1ks","Lungwan Kitchen","Thai","4.5","(100+)","Chon Buri"
"x8fu","2 Bandid Noodles","Thai","4.7","(100+)","Chon Buri"
"x7wd","Kai Yang Yang Tarad (Branch 2)","Thai","4.6","(100+)","Chon Buri"
"t6lx","Dom Pizza Restaurant","International","4.7","(2000+)","Chon Buri"
"g9kk","Morning Moon Cafe","International","4.2","(100+)","Chon Buri"
"g4zz","Sand Café Pattaya","Thai","4.5","(100+)","Chon Buri"
"gf0l","Pa Kae Khao Man Kai (Pratumnak Soi 6)","Thai","4.7","(78)","Chon Buri"
"l8qg","Joke Bangsaen","Thai","4.5","(500+)","Chon Buri"
"l3hb","Ahan Tam Sang Pa Taew","Thai","4.3","(18)","Chon Buri"
"hkpi","Urban Pizza (Bang Saen)","Italian","4.1","(12)","Chon Buri"
"j59p","Kai Jiew Pa Kul","Thai","4.8","(100+)","Chon Buri"
"c3d2","Ar Han Tam Jai Sang Pa Phet","Thai","5","(39)","Chon Buri"
"fusl","Ban Phak Hom","International","4.9","(21)","Chon Buri"
"s0zz","Safe Kluyping and Phonlamaisod Dong","Thai","4.7","(100+)","Chon Buri"
"fjpq","Mikka Cafe & Bakery (Bangsaen)","Beverages","5","(69)","Chon Buri"
"roy5","Kuaitiao Na Mon","Thai","4.7","(100+)","Chon Buri"
"kuyu","Chiang Kuay Tiao Loet Rot","Thai","4.9","(16)","Chon Buri"
"clbc","Tid Pak Ahan Tam Sang","Thai","4.1","(9)","Chon Buri"
"snuv","Kawgang Je nok kiree Soi4","Thai","4.8","(100+)","Chon Buri"
"wfg4","Chao Doi Coffee (Sukhumvit Road)","Beverages","5","(100+)","Chon Buri"
"yxoe","Bellinee's Bake & Brew (Thai Watsadu Bangsaen)","Beverages","4.5","(5)","Chon Buri"
"p3vp","Kamoo Bangsaen","Thai","4.9","(100+)","Chon Buri"
"q0qm","Banpuk Tomluedmoo and Khao Rad Gaeng","Thai","4.9","(48)","Chon Buri"
"k4ax","Aoi Tarmsang Thai Esan","Thai","3.9","(14)","Chon Buri"
"a5t4","Kuay Tiao Ruea Narok Tak (Bangsan)","Thai","5","(31)","Chon Buri"
"hbmf","Maru Waffle (Thai Watsadu Bangsaen)","Asian","5","(14)","Chon Buri"
"s1a4","J'Aueng Ahan Tam Sang","Thai","4.7","(100+)","Chon Buri"
"ygps","Jai Sam Yam Duek and Thale Dong","Asian","5","(37)","Chon Buri"
"qk26","Thai Ice Coffee","Beverages","4.9","(27)","Chon Buri"
